datetime,open,high,low,close,volume,hold
2025-10-14 02:00:00,936.84,938.62,935.74,936.76,13217,244785
2025-10-14 09:30:00,936.76,948.66,935.62,947.7,1156,244795
2025-10-14 10:45:00,947.74,952.4,944.04,950.76,186,242746
2025-10-14 13:45:00,950.78,958.1,938.04,938.4,1399,236465
2025-10-14 14:45:00,938.4,945.0,929.8,934.66,1162,229541
2025-10-14 15:00:00,934.2,938.98,933.78,938.98,141,228457
2025-10-14 22:00:00,937.72,942.68,934.52,941.78,89923,230873
2025-10-14 23:00:00,941.86,945.4,941.62,943.16,25425,231548
2025-10-15 00:00:00,943.06,947.32,942.56,946.1,5754,231631
2025-10-15 01:00:00,946.1,952.3,944.1,948.46,39466,232141
2025-10-15 02:00:00,948.5,951.46,947.0,950.48,18892,232092
2025-10-15 09:30:00,950.44,959.4,949.2,957.64,41122,232936
2025-10-15 10:45:00,957.66,958.0,951.7,953.68,732,231509
2025-10-15 13:45:00,953.7,958.5,952.54,956.8,35057,230727
2025-10-15 14:45:00,956.78,958.66,955.8,958.48,2626,230381
2025-10-15 15:00:00,958.48,960.34,958.26,960.34,4311,230682
2025-10-15 22:00:00,958.2,960.52,956.4,959.08,72018,233117
2025-10-15 23:00:00,959.06,964.74,959.06,961.56,37673,235032
2025-10-16 00:00:00,961.54,962.5,956.82,958.96,13043,233906
2025-10-16 01:00:00,958.96,961.06,957.9,960.88,22650,233035
2025-10-16 02:00:00,960.88,961.36,958.26,961.3,16252,232702
2025-10-16 09:30:00,961.32,967.1,961.02,966.48,21931,234003
2025-10-16 10:45:00,966.48,969.86,966.14,969.72,363,234538
2025-10-16 13:45:00,969.72,971.5,961.0,964.66,69880,230530
2025-10-16 14:45:00,964.54,968.5,962.1,966.04,26666,226469
2025-10-16 15:00:00,966.02,967.06,964.86,966.42,93,225155
2025-10-16 22:00:00,968.74,975.4,968.74,973.54,14,229939
2025-10-16 23:00:00,973.38,978.08,973.26,976.28,270,230053
2025-10-17 00:00:00,976.28,979.34,975.9,978.46,2,230462
2025-10-17 01:00:00,978.46,982.74,975.82,980.78,19,230392
2025-10-17 02:00:00,980.84,984.18,980.0,983.52,59,231205
2025-10-17 09:30:00,983.5,998.0,979.24,991.24,117,229868
2025-10-17 10:45:00,991.28,995.4,979.44,994.68,6733,227712
