hour,xyz_usd_per_ton,xyz_close,shfe_usd_per_ton,shfe_close,spread,spread_ratio,spread_mean,spread_std,zscore
2026-01-20 00:00:00,13028.422352,5.9096,14012.413793103447,101590.0,-983.991441103448,-7.022283638153359,-6.7781376815253,0.4423085844554212,-0.5519810494491221
2026-01-20 01:00:00,13030.40651,5.9105,14019.310344827589,101640.0,-988.903834827588,-7.053869345238106,-6.7987186137104,0.44320446610364606,-0.5756953077905985
2026-01-20 10:00:00,12922.38013,5.8615,13925.51724137931,100960.0,-1003.1371113793102,-7.20358959736529,-6.814349437009924,0.45084786772865504,-0.863351450049735
2026-01-20 11:00:00,12948.83557,5.8735,13915.862068965518,100890.0,-967.0264989655188,-6.94909517048271,-6.794453901472045,0.4328313129708698,-0.35727837699457915
2026-01-20 14:00:00,12951.04019,5.8745,13986.206896551725,101400.0,-1035.166706551725,-7.401339864398427,-6.849868277294868,0.4212138693277734,-1.3092436580582385
2026-01-20 15:00:00,13007.258,5.9,13962.758620689656,101230.0,-955.500620689656,-6.84320804109454,-6.8549939211625714,0.4203147829923778,0.028040603245318704
2026-01-20 22:00:00,12775.552438,5.7949,13830.344827586208,100270.0,-1054.792389586206,-7.626652861773209,-6.9294069358430646,0.3899351284836828,-1.7881074953197544
2026-01-20 23:00:00,12741.160366,5.7793,13809.655172413792,100120.0,-1068.4948064137934,-7.737302583399918,-6.984558489994839,0.4070488472570169,-1.8492721413599407
2026-01-21 00:00:00,12768.277192,5.7916,13762.758620689656,99780.0,-994.4814286896562,-7.225887310082191,-7.018525208979306,0.39076635343073407,-0.5306549534839655
2026-01-21 01:00:00,12821.188072,5.8156,13783.448275862069,99930.0,-962.2602038620698,-6.981273369358554,-7.0404635105430105,0.37207180365368314,0.15908257654361033
2026-01-21 10:00:00,12883.137894,5.8437,13828.96551724138,100260.0,-945.8276232413792,-6.839467652603226,-7.0098675580547685,0.3561617307311261,0.4784340673034893
2026-01-21 11:00:00,12890.192678,5.8469,13859.310344827589,100480.0,-969.1176668275876,-6.992538897790612,-7.0206889349245785,0.35129046741378406,0.08013322234789934
2026-01-21 14:00:00,12966.692991999998,5.8816,13979.310344827589,101350.0,-1012.6173528275884,-7.2436860463739645,-7.0323084529951805,0.3539639270286813,-0.5971726982271173
2026-01-21 15:00:00,12983.448104,5.8892,13969.655172413792,101280.0,-986.2070684137944,-7.05963788112165,-7.0458932683464015,0.348211144344799,-0.03947206457481548
2026-01-21 22:00:00,12877.18542,5.841,13966.896551724138,101260.0,-1089.711131724138,-7.802099254394623,-7.075611439534639,0.38093580620028683,-1.9071134900824047
2026-01-21 23:00:00,12871.012484,5.8382,13914.48275862069,100880.0,-1043.4702746206913,-7.499166822957981,-7.086110164945208,0.3892517958463374,-1.0611554331166972
2026-01-22 00:00:00,12785.69369,5.7995,13902.06896551724,100790.0,-1116.3752755172409,-8.030281523464621,-7.131831878178587,0.43252159519740635,-2.0772365016271035
2026-01-22 01:00:00,12744.90822,5.781,13848.275862068966,100400.0,-1103.3676420689662,-7.967545224103589,-7.208389906744439,0.40951251679833756,-1.8538024754271252
2026-01-22 10:00:00,12773.347817999998,5.7939,13880.0,100630.0,-1106.6521820000016,-7.972998429394829,-7.263419895188972,0.42013449542096476,-1.6889318585822763
2026-01-22 11:00:00,12814.133288,5.8124,13888.275862068966,100690.0,-1074.1425740689665,-7.734167903466094,-7.294375370633006,0.4265290119755438,-1.0310964095879724
2026-01-22 14:00:00,12817.219756,5.8138,13882.758620689656,100650.0,-1065.5388646896572,-7.675267530054663,-7.32682580914686,0.42456054129913595,-0.8207115052227586
2026-01-22 15:00:00,12713.382154,5.7667,13889.655172413792,100700.0,-1176.2730184137945,-8.468698494041716,-7.370144228312019,0.48428227941387675,-2.268417227777298
2026-01-22 22:00:00,12651.652793999998,5.7387,13813.793103448275,100150.0,-1162.1403094482775,-8.412897896655025,-7.454023621004624,0.4832439802829543,-1.9842446357820132
2026-01-22 23:00:00,12678.76962,5.751,13773.793103448275,99860.0,-1095.0234834482744,-7.950050325455626,-7.487208569301022,0.4890289594400272,-0.9464506083332783
2026-01-23 00:00:00,12737.632974,5.7777,13777.93103448276,99890.0,-1040.298060482759,-7.55046645159676,-7.50921618652783,0.4789779315883363,-0.08612143138231933
2026-01-23 01:00:00,12762.324718,5.7889,13830.344827586208,100270.0,-1068.020109586207,-7.72229559638975,-7.537067280325815,0.47071187728687364,-0.3935067819651549
2026-01-23 10:00:00,12878.508192,5.8416,13982.06896551724,101370.0,-1103.5607735172416,-7.892685812370526,-7.5657796226177005,0.47050269377499393,-0.6948019513553727
2026-01-23 11:00:00,12862.634927999998,5.8344,13921.379310344828,100930.0,-1058.7443823448302,-7.605168703061549,-7.593116019808485,0.4518027248902243,-0.026676871539437912
2026-01-23 14:00:00,12864.839548,5.8354,13984.827586206897,101390.0,-1119.9880382068968,-8.00859382286222,-7.61841826807781,0.457563014032719,-0.8527252920764051
2026-01-23 15:00:00,12843.454734,5.8257,13977.93103448276,101340.0,-1134.4763004827582,-8.116196150088806,-7.671459439285904,0.43711908213403383,-1.017426895736691
2026-01-23 22:00:00,13095.001875999998,5.9398,14164.137931034482,102690.0,-1069.1360550344834,-7.548190085694816,-7.668190156949305,0.43776171314448925,0.27412189703050127
2026-01-23 23:00:00,13156.951698,5.9679,14177.93103448276,102790.0,-1020.97933648276,-7.201187070240311,-7.645852010567655,0.44764853406123445,0.9933349636894313
2026-01-24 01:00:00,13138.873814,5.9597,14180.689655172411,102810.0,-1041.8158411724144,-7.346721961385083,-7.650886787705275,0.44337891794595374,0.6860155366188803
2026-01-26 00:00:00,13678.123866,6.2043,14183.448275862069,102830.0,-505.32440986206893,-3.562775426918219,-7.508449373436927,0.9394448465375853,4.200005951451936
2026-01-26 10:00:00,13181.42298,5.979,14198.620689655172,102940.0,-1017.1977096551728,-7.164060030114627,-7.521974055833236,0.9316997025294302,0.38415170118325004
2026-01-26 11:00:00,13168.19526,5.973,14171.03448275862,102740.0,-1002.8392227586228,-7.07668324411136,-7.525480070263267,0.9297771362253093,0.48269290420919997
2026-01-26 14:00:00,13046.94116,5.918,14066.206896551725,101980.0,-1019.2657365517244,-7.246201794469509,-7.525584893100581,0.9297441267876625,0.30049460984105647
2026-01-26 15:00:00,13144.826287999998,5.9624,14052.413793103447,101880.0,-907.5875051034492,-6.458587958382411,-7.50054114631978,0.9506994804392069,1.0959858602804795
2026-01-26 22:00:00,13318.991268,6.0414,14195.862068965518,102920.0,-876.8708009655184,-6.176946470073852,-7.43282644697308,0.9855256242831042,1.2743250362594951
2026-01-26 23:00:00,13271.8124,6.02,14331.03448275862,103900.0,-1059.2220827586225,-7.391106929740143,-7.428323951422338,0.9854562025467709,0.037766286909568056
2026-01-27 00:00:00,13242.711416,6.0068,14271.724137931034,103470.0,-1029.0127219310343,-7.210150028027451,-7.394151805779123,0.9778652795441615,0.18816679720691784
2026-01-27 01:00:00,13294.079062,6.0301,14270.344827586208,103460.0,-976.2657655862076,-6.841220568818873,-7.347221611808926,0.9761763454296346,0.5183500351745899
2026-01-27 10:00:00,13046.279774,5.9177,14051.03448275862,101870.0,-1004.7547087586228,-7.150752565524698,-7.312961367481004,0.9676506519306639,0.1676315740940867
2026-01-27 11:00:00,13020.48572,5.906,14052.413793103447,101880.0,-1031.9280731034487,-7.343422192775817,-7.296680296202243,0.9635340339048015,-0.04851089315874916
2026-01-27 14:00:00,13086.403858,5.9359,14063.448275862069,101960.0,-977.0444178620692,-6.947402932032176,-7.266352604617971,0.962554168408592,0.33135763477407215
2026-01-27 15:00:00,13073.396599999998,5.93,14151.724137931034,102600.0,-1078.3275379310362,-7.619760867446401,-7.230980203509834,0.931547915264063,-0.41734907841682106
