date,cme_close,cme_usd_per_lb,shfe_close,cme_usd_per_ton,shfe_usd_per_ton,spread,spread_ratio
2021-07-27,455.9,4.559,71770,10050.862579999999,9899.310344827587,151.5522351724121,1.5309373066740806
2021-07-28,447.5,4.475,71850,9865.6745,9910.344827586207,-44.67032758620735,-0.45074443284621196
2021-07-29,452.0,4.52,71610,9964.882399999999,9877.241379310344,87.6410206896544,0.8873026113671196
2021-07-30,447.65,4.4765,71820,9868.981429999998,9906.206896551725,-37.22546655172664,-0.3757792153996354
2021-08-02,443.15,4.4315,71480,9769.773529999999,9859.310344827587,-89.53681482758839,-0.9081448062395296
2021-08-03,438.0,4.38,70450,9656.2356,9717.241379310344,-61.005779310344224,-0.6278096522356219
2021-08-04,433.2,4.332,70120,9550.41384,9671.724137931034,-121.31029793103517,-1.2542778950370863
2021-08-05,434.7,4.3469999999999995,69220,9583.483139999998,9547.586206896553,35.89693310344592,0.37597914620049533
2021-08-06,433.6,4.336,70330,9559.232320000001,9700.689655172413,-141.45733517241206,-1.4582193658467049
2021-08-09,429.1,4.291,69470,9460.02442,9582.068965517241,-122.0445455172412,-1.2736763423060298
2021-08-10,434.75,4.3475,69550,9584.58545,9593.103448275862,-8.517998275861828,-0.08879293673615853
2021-08-11,436.65,4.366499999999999,69770,9626.473229999998,9623.448275862069,3.024954137928944,0.0314331625340187
2021-08-12,436.25,4.3625,70410,9617.65475,9711.724137931034,-94.06938793103473,-0.9686167625337335
2021-08-13,435.75,4.3575,69970,9606.63165,9651.034482758621,-44.402832758622026,-0.4600836608546658
2021-08-16,432.7,4.327,69660,9539.390739999999,9608.275862068966,-68.88512206896667,-0.7169353072064432
2021-08-17,422.3,4.223,69710,9310.11026,9615.172413793103,-305.0621537931038,-3.1727164180175045
2021-08-18,411.25,4.1125,68720,9066.499749999999,9478.620689655172,-412.12093965517306,-4.347899901775327
2021-08-19,404.6,4.046,66790,8919.89252,9212.413793103447,-292.52127310344804,-3.1752945500823455
2021-08-20,414.35,4.1435,67200,9134.84297,9268.965517241379,-134.12254724137892,-1.4470066480654722
2021-08-23,422.15,4.2215,67620,9306.803329999999,9326.896551724138,-20.093221724138857,-0.21543309301982655
2021-08-24,425.3,4.253,68560,9376.24886,9456.551724137931,-80.30286413793146,-0.8491770201283593
2021-08-25,426.2,4.262,69100,9396.090439999998,9531.034482758621,-134.94404275862325,-1.4158383646888837
2021-08-26,424.9,4.249,68590,9367.430379999998,9460.689655172413,-93.25927517241507,-0.9857555693249882
2021-08-27,433.45,4.3345,69130,9555.92539,9535.172413793103,20.752976206897074,0.21764657529293185
2021-08-30,437.75,4.3775,70130,9650.72405,9673.103448275862,-22.379398275861604,-0.2313569620704358
2021-08-31,436.55,4.3655,70100,9624.26861,9668.965517241379,-44.69690724137945,-0.4622718651925835
2021-09-01,427.95,4.2795,68900,9434.671289999998,9503.448275862069,-68.77698586207043,-0.7237055841799864
2021-09-02,429.6,4.296,69020,9471.04752,9520.0,-48.95247999999992,-0.5142067226890749
2021-09-03,433.6,4.336,69090,9559.232320000001,9529.655172413793,29.577147586207502,0.31036954696772956
2021-09-06,433.0,4.33,69510,9546.0046,9587.586206896553,-41.58160689655233,-0.4337025607826275
2021-09-07,427.35,4.2735,69070,9421.44357,9526.896551724138,-105.45298172413823,-1.1068975206312468
2021-09-08,423.55,4.2355,68680,9337.66801,9473.103448275862,-135.4354382758629,-1.4296839363715872
2021-09-09,427.9,4.279,69300,9433.56898,9558.620689655172,-125.05170965517209,-1.3082610317460284
2021-09-10,442.55,4.4255,70080,9756.54581,9666.206896551725,90.33891344827498,0.9345849350741918
2021-09-13,436.6,4.3660000000000005,71480,9625.370920000001,9859.310344827587,-233.93942482758575,-2.3727767627308287
2021-09-14,431.4,4.314,69840,9510.730679999999,9633.103448275862,-122.37276827586356,-1.27033586769761
2021-09-15,440.25,4.4025,69810,9705.839549999999,9628.965517241379,76.87403275862016,0.7983623227331273
2021-09-16,428.2,4.282,69650,9440.18284,9606.896551724138,-166.7137117241382,-1.7353545010768154
2021-09-17,423.75,4.2375,69270,9342.077249999998,9554.48275862069,-212.40550862069176,-2.223097932005219
2021-09-22,422.25,4.2225,68780,9309.00795,9486.896551724138,-177.88860172413843,-1.8750979390811335
2021-09-23,423.15,4.2315,68660,9328.84953,9470.344827586207,-141.49529758620702,-1.4940881262743968
2021-09-24,428.1,4.281000000000001,69250,9437.97822,9551.724137931034,-113.74591793103355,-1.1908417400721925
2021-09-27,427.9,4.279,69340,9433.56898,9564.137931034482,-130.56895103448187,-1.3651930992212196
2021-09-28,424.6,4.246,69230,9360.81652,9548.965517241379,-188.1489972413783,-1.9703600028889108
2021-09-29,417.7,4.177,68360,9208.697739999998,9428.965517241379,-220.26777724138083,-2.3360757533645566
2021-09-30,410.5,4.105,67950,9049.965100000001,9372.413793103447,-322.4486931034462,-3.440401802796152
2021-10-08,427.85,4.2785,68840,9432.46667,9495.172413793103,-62.705743793103466,-0.6603960524404419
