hour,xyz_usd_per_ton,xyz_close,shfe_usd_per_ton,shfe_close,spread,spread_ratio
2026-01-23 11:00:00,12862.634927999998,5.8344,13921.379310344828,100930.0,-1058.7443823448302,-7.605168703061549
2026-01-23 14:00:00,12864.839548,5.8354,13984.827586206897,101390.0,-1119.9880382068968,-8.00859382286222
2026-01-23 15:00:00,12843.454734,5.8257,13977.931034482759,101340.0,-1134.4763004827582,-8.116196150088806
2026-01-23 22:00:00,13095.001875999998,5.9398,14164.137931034482,102690.0,-1069.1360550344834,-7.5481900856948165
2026-01-23 23:00:00,13156.951697999999,5.9679,14177.931034482759,102790.0,-1020.9793364827601,-7.201187070240311
2026-01-24 01:00:00,13138.873813999999,5.9597,14180.689655172413,102810.0,-1041.8158411724144,-7.346721961385083
2026-01-26 00:00:00,13678.123866,6.2043,14183.448275862069,102830.0,-505.32440986206893,-3.562775426918219
2026-01-26 10:00:00,13181.42298,5.979,14198.620689655172,102940.0,-1017.1977096551727,-7.164060030114627
2026-01-26 11:00:00,13168.195259999999,5.973,14171.034482758621,102740.0,-1002.8392227586228,-7.07668324411136
2026-01-26 14:00:00,13046.94116,5.918,14066.206896551725,101980.0,-1019.2657365517243,-7.246201794469509
2026-01-26 15:00:00,13144.826287999998,5.9624,14052.413793103447,101880.0,-907.5875051034491,-6.458587958382411
2026-01-26 22:00:00,13318.991268,6.0414,14195.862068965518,102920.0,-876.8708009655184,-6.176946470073852
2026-01-26 23:00:00,13271.812399999999,6.02,14331.034482758621,103900.0,-1059.2220827586225,-7.391106929740143
2026-01-27 00:00:00,13242.711416,6.0068,14271.724137931034,103470.0,-1029.0127219310343,-7.210150028027451
2026-01-27 01:00:00,13294.079061999999,6.0301,14270.344827586207,103460.0,-976.2657655862076,-6.841220568818873
2026-01-27 10:00:00,13046.279773999999,5.9177,14051.034482758621,101870.0,-1004.7547087586227,-7.150752565524698
2026-01-27 11:00:00,13020.485719999999,5.906,14052.413793103447,101880.0,-1031.9280731034487,-7.343422192775817
2026-01-27 14:00:00,13086.403858,5.9359,14063.448275862069,101960.0,-977.0444178620692,-6.947402932032176
2026-01-27 15:00:00,13073.396599999998,5.93,14151.724137931034,102600.0,-1078.3275379310362,-7.619760867446401
2026-01-27 22:00:00,12871.673869999999,5.8385,14106.206896551725,102270.0,-1234.533026551726,-8.751700833577791
2026-01-27 23:00:00,12932.962306,5.8663,13953.103448275862,101160.0,-1020.1411422758629,-7.311213208283918
2026-01-28 00:00:00,12949.276494,5.8737,13995.862068965518,101470.0,-1046.5855749655184,-7.477821443283739
2026-01-28 01:00:00,12937.812469999999,5.8685,14008.275862068966,101560.0,-1070.4633920689666,-7.641649854765664
2026-01-28 10:00:00,13102.938508,5.9434,14052.413793103447,101880.0,-949.4752851034482,-6.756670413231247
2026-01-28 11:00:00,13194.6507,5.985,14200.0,102950.0,-1005.3492999999999,-7.079924647887326
2026-01-28 14:00:00,13193.107466,5.9843,14252.413793103447,103330.0,-1059.306327103448,-7.432469632730088
2026-01-28 15:00:00,13160.920013999998,5.9697,14215.172413793103,103060.0,-1054.2523997931057,-7.416388413060371
2026-01-28 22:00:00,13119.693619999998,5.951,14150.344827586207,102590.0,-1030.6512075862083,-7.283576620528331
2026-01-28 23:00:00,13031.50882,5.911,14202.758620689656,102970.0,-1171.2498006896567,-8.246635966786453
2026-01-29 00:00:00,13027.760966,5.9093,14121.379310344828,102380.0,-1093.618344344828,-7.744415898124634
2026-01-29 01:00:00,13081.774156,5.9338,14125.51724137931,102410.0,-1043.7430853793103,-7.389060998925889
2026-01-29 10:00:00,13516.52522,6.131,14227.586206896553,103150.0,-711.060986896553,-4.997762632089198
2026-01-29 11:00:00,13837.517892,6.2766,14877.241379310344,107860.0,-1039.7234873103444,-6.988684668088263
2026-01-29 14:00:00,13908.065732,6.3086,15150.344827586207,109840.0,-1242.2790955862074,-8.199675385105609
2026-01-29 15:00:00,13924.820844,6.3162,15049.655172413793,109110.0,-1124.8343284137936,-7.474153497387959
